Drill Listing
=============
Drill: 11.81  Tool: 1  Feed: 95  Speed: 300
X 117700  Y 252300
X 106850  Y 387755
X 121102  Y 397244
X 121417  Y 402480
X 133740  Y 415314
X 128800  Y 417500
X 140984  Y 430078
X 150748  Y 443425
X 138818  Y 454566
X 150236  Y 462283
X 109900  Y 486000
X 149900  Y 488500
X 144400  Y 500400
X 129133  Y 511692
X 129291  Y 521889
X 160100  Y 532700
X 177992  Y 527007
X 200157  Y 508622
X 205118  Y 501929
X 187913  Y 485472
X 205118  Y 482755
X 192362  Y 475433
X 200984  Y 474881
X 196496  Y 473031
X 188661  Y 469842
X 176732  Y 469527
X 162637  Y 466574
X 175157  Y 465905
X 174330  Y 461062
X 191968  Y 460275
X 185826  Y 458110
X 174448  Y 455748
X 184251  Y 454370
X 183976  Y 450393
X 204291  Y 447204
X 190629  Y 446456
X 169488  Y 444606
X 179842  Y 440314
X 192007  Y 438582
X 205629  Y 436614
X 170669  Y 435393
X 192362  Y 435039
X 188425  Y 432952
X 177677  Y 431062
X 190787  Y 430118
X 174409  Y 423070
X 186338  Y 418543
X 159724  Y 415826
X 191811  Y 412637
X 189842  Y 281220
X 191535  Y 277165
X 178937  Y 275511
X 194251  Y 269685
X 205866  Y 216850
X 217952  Y 172559
X 218188  Y 177047
X 217559  Y 195590
X 208425  Y 221299
X 210590  Y 229842
X 216220  Y 230393
X 215984  Y 236850
X 212952  Y 241771
X 228779  Y 243622
X 209606  Y 261771
X 208661  Y 265905
X 215590  Y 330866
X 231417  Y 410944
X 212125  Y 421102
X 215826  Y 421811
X 207401  Y 422047
X 222874  Y 422716
X 227401  Y 427007
X 217283  Y 432204
X 222834  Y 438307
X 212480  Y 442519
X 210551  Y 448897
X 217204  Y 449370
X 218543  Y 454921
X 214803  Y 460511
X 210826  Y 460551
X 216929  Y 465000
X 230708  Y 471338
X 226889  Y 471653
X 229881  Y 485393
X 218622  Y 486692
X 214291  Y 486811
X 212480  Y 490078
X 210118  Y 493858
X 230511  Y 503425
X 217165  Y 503543
X 229330  Y 512755
X 212795  Y 518779
X 254400  Y 551000
X 243800  Y 538800
X 252677  Y 503188
X 249700  Y 496300
X 239527  Y 483070
X 234645  Y 481968
X 255866  Y 478070
X 236181  Y 471850
X 247165  Y 467874
X 251062  Y 460157
X 234055  Y 454212
X 250472  Y 451377
X 246968  Y 446259
X 234094  Y 443700
X 251417  Y 440551
X 232362  Y 437598
X 252519  Y 431929
X 240669  Y 425236
X 234685  Y 422204
X 246456  Y 195984
X 250000  Y 184763
X 233937  Y 176889
X 233740  Y 172559
X 249251  Y 157322
X 275196  Y 160748
X 279724  Y 162598
X 271653  Y 172519
X 271968  Y 177007
X 256968  Y 182401
X 272952  Y 195629
X 259448  Y 418031
X 271102  Y 426771
X 271456  Y 432559
X 268740  Y 438897
X 271929  Y 441811
X 267834  Y 444606
X 274803  Y 454842
X 264330  Y 455511
X 277992  Y 460354
X 259251  Y 473503
X 277559  Y 480196
X 267800  Y 480200
X 267913  Y 493070
X 300000  Y 505236
X 291811  Y 492598
X 318543  Y 481850
X 292047  Y 475748
X 285275  Y 467007
X 317755  Y 448858
X 301535  Y 446338
X 325590  Y 429566
X 282637  Y 413464
X 325196  Y 259448
X 303661  Y 190748
X 290196  Y 175196
X 290196  Y 170629
X 319330  Y 139370
X 319645  Y 123031
X 318976  Y 114488
X 348300  Y 148400
X 333100  Y 153700
X 346500  Y 155500
X 332800  Y 160500
X 354900  Y 160500
X 348800  Y 165500
X 333000  Y 165500
X 333100  Y 170500
X 354900  Y 170500
X 333200  Y 175500
X 353000  Y 187800
X 351200  Y 194600
X 341850  Y 259448
X 354566  Y 409803
X 356496  Y 439094
X 352244  Y 486377
X 338149  Y 491614
X 343149  Y 492086
X 342900  Y 551400
X 378267  Y 525826
X 370748  Y 509960
X 393740  Y 500354
X 377400  Y 471100
X 391338  Y 405000
X 391338  Y 384251
X 381456  Y 259842
X 364566  Y 259842
X 361300  Y 190400
X 375100  Y 185500
X 375300  Y 170500

Drill: 19.69  Tool: 2  Feed: 95  Speed: 300
X 206600  Y 136300
X 221456  Y 182795
X 221811  Y 191574
X 122400  Y 412300
X 155600  Y 493400
X 184400  Y 532300
X 280984  Y 557834
X 295300  Y 542000
X 276299  Y 539645
X 298976  Y 489527
